time, gx, gy, gz, ax, ay, az, mx, my, mz
10809720,+4.850,-9.420,-1.990,+0.564,+1.071,+9.841,+22.100,-2.900,-35.500
10809730,+4.130,-9.180,-1.990,+0.562,+1.060,+9.889,+21.600,-0.700,-39.000
10809740,+4.280,-8.890,-2.240,+0.553,+1.052,+9.886,+21.400,-2.900,-35.700
10809750,+4.880,-6.700,-1.980,+0.575,+0.999,+9.893,+20.800,-1.500,-39.300
10809760,+5.710,-4.050,-1.740,+0.590,+1.047,+9.846,+21.600,-3.100,-36.000
10809770,+6.070,-0.650,-1.640,+0.582,+1.091,+9.895,+21.600,-3.100,-35.700
10809780,+6.990,+2.760,-1.140,+0.579,+1.053,+9.905,+21.900,-3.100,-35.400
10809790,+7.400,+3.170,-1.240,+0.575,+1.182,+9.824,+21.200,-1.400,-39.200
10809800,+7.930,+1.630,-1.030,+0.540,+1.171,+9.772,+21.700,-3.300,-35.900
10809810,+9.150,+1.090,-0.910,+0.547,+1.179,+9.672,+21.400,-2.900,-35.900
10809820,+9.320,+2.990,-1.040,+0.565,+1.072,+9.624,+21.900,-3.300,-35.900
10809830,+8.770,+5.920,-0.710,+0.566,+1.015,+9.691,+21.900,-3.600,-35.500
10809840,+8.740,+10.320,-0.660,+0.575,+1.080,+9.757,+21.900,-3.800,-35.500
10809850,+8.430,+13.470,-0.610,+0.533,+1.106,+9.789,+21.700,-3.400,-35.700
10809860,+6.750,+13.270,-0.940,+0.490,+1.134,+9.734,+21.200,-2.000,-39.000
10809870,+3.820,+11.360,-1.130,+0.454,+1.040,+9.791,+21.900,-3.800,-35.500
10809880,+1.190,+9.340,-0.980,+0.431,+1.024,+9.755,+22.100,-3.600,-35.400
10809890,+0.830,+10.520,-1.080,+0.424,+1.097,+9.772,+22.100,-3.400,-35.400
10809900,+2.370,+11.230,-0.880,+0.412,+1.205,+9.878,+21.900,-2.000,-38.800
10809910,+4.760,+9.850,-1.140,+0.430,+1.273,+9.866,+22.200,-3.400,-35.200
10809920,+5.640,+10.980,-1.400,+0.409,+1.235,+9.791,+21.900,-2.300,-38.500
10809930,+4.720,+11.410,-1.620,+0.394,+1.065,+9.755,+21.900,-3.600,-35.400
10809940,+3.470,+12.020,-1.420,+0.356,+1.046,+9.697,+22.200,-3.800,-35.200
10809950,+1.700,+11.000,-1.110,+0.316,+1.086,+9.672,+21.700,-1.900,-38.700
10809960,-1.440,+11.680,+0.210,+0.287,+1.168,+9.592,+21.700,-2.500,-38.500
10809970,-7.510,+12.670,+1.630,+0.215,+1.203,+9.598,+22.500,-3.900,-35.000
10809980,-11.840,+15.410,+2.160,+0.325,+1.089,+9.618,+22.700,-3.300,-34.900
10809990,-11.500,+17.130,+0.610,+0.357,+1.034,+9.746,+22.900,-3.600,-34.900
10810000,-10.650,+15.780,+0.030,+0.237,+1.081,+9.719,+22.900,-3.400,-35.000
10810010,-7.640,+10.010,+0.150,+0.252,+1.071,+9.786,+23.300,-2.900,-35.000
10810020,-2.020,+2.410,-0.180,+0.227,+1.108,+9.849,+22.500,-2.000,-38.700
10810030,+1.220,-2.330,+0.080,+0.217,+1.114,+9.823,+23.000,-3.400,-35.200
10810040,+1.890,-4.440,-0.310,+0.196,+1.167,+9.814,+23.200,-2.900,-35.000
10810050,+1.990,-5.290,-0.140,+0.236,+1.172,+9.792,+22.900,-3.400,-35.000
10810060,+2.460,-5.270,-0.090,+0.218,+1.204,+9.699,+23.200,-3.900,-34.900
10810070,+2.240,-5.880,-0.180,+0.230,+1.210,+9.673,+22.500,-3.400,-34.900
10810080,+1.680,-7.380,+0.740,+0.225,+1.168,+9.639,+23.000,-3.600,-34.900
10810090,+0.980,-8.170,+0.740,+0.277,+1.081,+9.570,+22.700,-3.800,-34.500
10810100,+1.710,-12.180,+0.580,+0.256,+1.090,+9.620,+22.200,-2.100,-37.300
10810110,+2.760,-14.540,+0.410,+0.283,+1.104,+9.662,+22.900,-4.300,-34.400
